Date,Location,Designation,Filename,Frame,Time (mins),Period time (mins),X (mm),Y (mm),Z (mm),sX (mm),sY (mm),sZ (mm),RMS (mm),Range (mm),Direction (deg),OpCode,TapeReader,Depth,Comment,Family,Genus,Species,Common_name,Code,Number,Stage,Activity,Comment,
20230613,Point_Lobos,MPA,20230613_D2.04_PointLobosMPA_7L_2.MP4,3922,14.0429,13.0174,-774.132,-269.702,-1560.303,1.656,0.958,3.162,8.269,1762.545,27.74,2.04,KR,30,,Paralichthyidae,Citharichthys,stigmaeus,Speckled_Sanddab,23,1,AD,Passing,,CSTI 7
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,2748,1.5282,0,-88.722,-102.243,-1043.191,0.62,0.63,1.891,0.118,1051.938,7.39,2.05,AW,45,na,Scorpaenidae,Sebastes,pinniger,Canary_Rockfish,147,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3082,1.7139,0.1857,727.537,106.415,-1876.162,2.176,1.058,5.177,4.094,2015.097,21.401,2.05,AW,45,na,Scorpaenidae,Sebastes,carnatus,Gopher_Rockfish,158,2,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3082,1.7139,0.1857,-150.824,78.398,-1349.751,0.862,0.802,3.205,0.985,1360.412,7.18,2.05,AW,45,na,Scorpaenidae,Sebastes,carnatus,Gopher_Rockfish,158,1,AD,Passing,,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3135,1.7434,0.2152,-339.313,44.891,-982.898,0.793,0.55,1.508,1.819,1040.787,19.2,2.05,AW,45,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,1,AD,Passing,RYOY,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3135,1.7434,0.2152,-288.747,-47.766,-1053.9,0.802,0.601,1.817,4.549,1093.783,15.519,2.05,AW,45,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,3,AD,Passing,RYOY,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3135,1.7434,0.2152,-99.203,-168.719,-1122.571,0.673,0.723,2.19,3.866,1139.506,9.885,2.05,AW,45,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,2,AD,Passing,RYOY,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3135,1.7434,0.2152,1.614,-242.646,-1078.173,0.608,0.759,2.004,3.685,1105.141,12.678,2.05,AW,45,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,4,AD,Passing,RYOY,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3135,1.7434,0.2152,194.262,-288.261,-872.563,0.562,0.611,1.185,0.717,939.254,21.717,2.05,AW,45,na,Scorpaenidae,Sebastes,sp1,YOY_Rockfish,,5,AD,Passing,RYOY,
20230613,Point_Lobos,MPA,20230613_D2.05_PointLobosMPA_9L_1.MP4,3795,2.1104,0.5822,1024.628,396.296,-1860.518,2.304,1.245,4.086,3.096,2160.657,30.563,2.05,AW,45,na,Scorpaenidae,Sebastes,serranoides,Olive_Rockfish,170,1,AD,Passing,,
